Element,Stream-salt water,HXutility-H1,Stream-salt water,Mix tank-M1,Mix tank-M1,Pump-P1,System,System,Simple TEA,Simple TEA
Variable,Salt flow rate [kg/hr],Heat exchanger temperature [K],Salt solution price [USD/kg],Mix tank retention time [hr],Mix tank mixer power usage [kW/m3],Pump design head [kPa],Total heating duty [kJ/yr],Total electricity consumption [kWh/yr],Total capital expenditure [USD],Net present value [USD]
46,52.086604280892125,338.38622455560386,1.404100814116768,0.9808788233239639,0.10539316818104463,321426.4121724055,2361675754.172734,8699.425045407306,60735.31245789751,-195078211.84359655
47,53.64392491558712,318.54712275702207,1.3145936175663113,0.9615165469682284,0.09599453656496344,425786.8073362992,1223487224.997517,10221.620223598364,61850.43803585042,-182740566.29519022
48,54.86434545571238,311.42441496511333,-0.6232208457829511,0.9092739359515938,0.08196734201560488,349422.08494590526,1189367149.849877,8332.247603803808,58307.00712049896,86505575.28997286
49,50.57372012885894,310.73579611637405,-1.851788839947338,0.9564712716091958,0.10712883588490546,373238.4375557677,120233773.01508513,9578.626631632427,56788.76001512518,256785450.9437715
50,54.42275507535543,324.36636020193214,-3.6455668071016274,0.9870294853271804,0.11073478581059189,404797.93570550426,2197352080.3321304,10311.035506577491,60686.54760906298,506439279.61434734
51,53.87683642938684,301.1092042027958,-0.11566287787055964,0.9833985848906526,0.08473625286897499,458425.0700200377,0.0,10576.193638596418,63966.38274921956,15960967.071063722
52,45.34968119054472,351.1867561622569,-0.3551402258162348,1.0036523077175672,0.10800454470995285,467062.6242371419,3738550968.776674,11421.038524708076,64032.34976367246,48886712.60118665
53,50.83590994641074,367.1022714275323,-1.6232550484367942,1.0749133743330466,0.083533326067187,490936.22042403364,6142129289.990789,11275.179215075936,66078.79435096792,224820124.4551574
54,48.96378244951794,344.4275351391687,0.5852124771746131,1.0475560045310166,0.10460862607544859,405746.4059247272,3062012779.7523685,10374.940683732131,62500.02650494344,-81322198.72332995
55,53.413194339620155,348.45967363117603,-0.5517725409745977,0.962231195618406,0.10868138235652014,372374.88378235034,4587362783.194467,9595.60207246574,60978.48140520734,76356217.6606222
56,50.32261488512996,357.8766656641531,0.4668197814428464,0.9683027754870555,0.09311978809368023,383430.5917444866,5639706646.193592,9374.04094850624,61374.47252237353,-65076458.328999124
57,53.38134706079056,315.0522668806621,1.9045647093007998,0.9438937820667236,0.08780669767136617,471285.8963882744,1017407924.9419534,10750.824704533698,61334.97939739898,-264651684.48977143
58,47.917204515253715,364.2518488048222,0.01327079140232063,1.0524058434108827,0.09174629877135887,401801.34246861015,4941046798.800533,9935.60297205481,63250.156626719,-2141327.717876687
