parameter,name,unit,expected,low,high,distribution,uncertainty_assumption,reference
price_push_button_with_lamp,,USD/pc,26,19.5,32.5,uniform,25%,https://www.radwell.com/Shop?source=GoogleShopping&IgnoreRedirect=true&ItemSingleId=757999&utm_source=google&utm_medium=cpc&adpos=&scid=scplp757999&sc_intid=757999&gclid=CjwKCAiAz--OBhBIEiwAG1rIOtSIc2fhASHjqM_K_HGtKIH17PskIbrFmLb29fKpRFCKTFLgwVbQWhoCKWIQAvD_BwE
price_relay_2_NO,,USD/pc,10,7.5,12.5,uniform,25%,https://www.digikey.com/en/products/detail/omron-automation-and-safety/MY2N%2520DC24%2520(S)/369698?utm_adgroup=Relays&utm_source=google&utm_medium=cpc&utm_campaign=Shopping_Supplier_Omron%20Automation%20and%20Safety_0236_Co-op&utm_term=&utm_content=Relays&gclid=CjwKCAiAz--OBhBIEiwAG1rIOkvmsjbR9gRPAo3DvdjH_r8YWcp8yIjDESYpTHMoHS87lnlHR_56lhoCDgAQAvD_BwE
price_relay_4_NO,,USD/pc,10,7.5,12.5,uniform,25%,https://www.digikey.com/en/products/detail/omron-automation-and-safety/MY2N%2520DC24%2520(S)/369698?utm_adgroup=Relays&utm_source=google&utm_medium=cpc&utm_campaign=Shopping_Supplier_Omron%20Automation%20and%20Safety_0236_Co-op&utm_term=&utm_content=Relays&gclid=CjwKCAiAz--OBhBIEiwAG1rIOkvmsjbR9gRPAo3DvdjH_r8YWcp8yIjDESYpTHMoHS87lnlHR_56lhoCDgAQAvD_BwE
price_relay_socket,,USD/pc,1,0.75,1.25,uniform,25%,https://www.amazon.com/ONLINE-LED-STORE-Pack-Interlocking/dp/B01KVZ2MCW/ref=sr_1_4?crid=ZVAZ7P8K2OC&keywords=relay+socket&qid=1641842777&sprefix=relay+socket%2Caps%2C86&sr=8-4
price_selector_swt_2way,,USD/pc,8.85,6.6375,11.0625,uniform,25%,https://www.newark.com/idec/yw1s-2e10/rotary-switch-2-pos-10a-120vac/dp/47AC9903?gclid=CjwKCAiAz--OBhBIEiwAG1rIOicQuVHKnxnm63KsT_pxwd6rXnJ0GustRb9nJxV0GnbvsAINunvghxoCEmsQAvD_BwE&mckv=s_dc|pcrid|486576161641|plid||kword|yw1s-2e10|match|p|slid||product||pgrid|118221201547|ptaid|aud-905115305456:kwd-400649366288|&CMP=KNC-GUSA-SKU-MDC-ELECTROMECHANICAL-SwitchesRelays-ABControl&cmp=KNC-GUSA-SKU-MDC-ELECTROMECHANICAL-SwitchesRelays-ABControl
price_selector_swt_3way,,USD/pc,14,10.5,17.5,uniform,25%,https://www.radwell.com/Shop?source=GoogleShopping&IgnoreRedirect=true&ItemSingleId=54821186&utm_source=google&utm_medium=cpc&adpos=&scid=scplp54821186&sc_intid=54821186&gclid=CjwKCAiAz--OBhBIEiwAG1rIOo21XyZJqYk9mF1-cCLplcrydkR7_UGCmXhTNXvV8Xd3nx_29s1r8xoCie0QAvD_BwE
price_solid_state_relay,,USD/pc,15,11.25,18.75,uniform,25%,https://www.amazon.com/SSR-40AA-Module-90-250V-Output-24-480V/dp/B07N51CBV5
price_temp_controller,,USD/pc,120,90,150,uniform,25%,https://www.zytrondirect.com/toho-ttm-004-1-16din-temperature-controller-ttm-004-r-a/
price_thermostat,,USD/pc,24,18,30,uniform,25%,https://www.galco.com/buy/Stego/01140.9-00
qty_breaker_1P_16A,Switch,pc,1,,,constant,-,SCG Design Team
qty_breaker_1P_2A,Switch,pc,2,,,constant,-,SCG Design Team
qty_breaker_1P_3A,Switch,pc,2,,,constant,-,SCG Design Team
qty_breaker_2P_25A,Switch,pc,1,,,constant,-,SCG Design Team
qty_breaker_2P_3A,Switch,pc,1,,,constant,-,SCG Design Team
qty_emergency_button,ElectronicsPassive,pc,1,,,constant,-,SCG Design Team
qty_fuse,ElectronicsPassive,pc,4,,,constant,-,SCG Design Team
qty_fuse_holder,ElectronicsPassive,pc,4,,,constant,-,SCG Design Team
qty_inverter,ElectronicsActive,pc,1,,,constant,-,SCG Design Team
qty_IO_card,ElectronicsActive,pc,1,,,constant,-,SCG Design Team
qty_level_control_relay,ElectronicsActive,pc,1,,,constant,-,SCG Design Team
qty_PLC_controller,ElectronicsActive,pc,1,,,constant,-,SCG Design Team
qty_polot_lamp,ElectronicsPassive,pc,6,,,constant,-,SCG Design Team
qty_power_supply,ElectronicsActive,pc,1,,,constant,-,SCG Design Team
qty_push_button,ElectronicsPassive,pc,1,,,constant,-,SCG Design Team
qty_push_button_with_lamp,ElectronicsPassive,pc,2,,,constant,-,SCG Design Team
qty_relay_2_NO,ElectronicsPassive,pc,8,,,constant,-,SCG Design Team
qty_relay_4_NO,ElectronicsPassive,pc,2,,,constant,-,SCG Design Team
qty_relay_socket,ElectronicsPassive,pc,10,,,constant,-,SCG Design Team
qty_selector_swt_2way,ElectronicsPassive,pc,2,,,constant,-,SCG Design Team
qty_selector_swt_3way,ElectronicsPassive,pc,3,,,constant,-,SCG Design Team
qty_solid_state_relay,ElectronicsPassive,pc,1,,,constant,-,SCG Design Team
qty_temp_controller,ElectronicsActive,pc,1,,,constant,-,SCG Design Team
qty_thermostat,ElectronicsActive,pc,1,,,constant,-,SCG Design Team
