Element,Stream-salt water,HXutility-H1,Stream-salt water,Mix tank-M1,Mix tank-M1,Pump-P1,System,System,Simple TEA,Simple TEA
Variable,Salt flow rate [kg/hr],Heat exchanger temperature [K],Salt solution price [USD/kg],Mix tank retention time [hr],Mix tank mixer power usage [kW/m3],Pump design head [kPa],Total heating duty [kJ/yr],Total electricity consumption [kWh/yr],Total capital expenditure [USD],Net present value [USD]
17,54.44440626568557,316.8274941495376,0.8482737069378289,1.0232999207507056,0.10502070812266434,347543.0953049569,369738045.60386884,9283.704282488352,60067.32203913247,-117965678.55535647
18,45.156282531569595,378.8766178400351,0.6972641554189613,1.01834372918821,0.10629466929679765,422480.42982718046,7670890772.634678,10552.284227343569,62973.05343560746,-96891221.5401983
19,51.7226686622651,352.9303015162794,-1.0411784476633388,0.9745603277073772,0.0798385903529834,456761.26276356104,4921051693.990957,10345.196186556888,63583.55406495161,144195715.4183355
20,50.66401670575785,381.44927005768363,0.5721249806029669,1.008136522362407,0.0951632996879525,437851.8625221596,7084979868.887347,10548.166134520694,65077.87410099187,-79767094.38456172
21,50.33842014983114,330.7651271843566,-0.5863430797155536,0.9624850145132606,0.10226555780880109,430142.64321158576,2795606723.3454013,10447.676402546698,62586.48821892493,81118672.06874973
22,46.29870326030857,319.06775501696956,-0.030697686034440525,0.9696806573550171,0.11374595127126393,367881.00715141295,1264384174.4677415,9680.73994709064,59817.13799227811,4123595.4912687787
23,54.12571648994113,391.3020167073967,0.4513552150813314,1.0090936597327973,0.11063735545707479,418519.08728111594,8856038402.146555,10618.035154981402,63248.34772665323,-63202576.94115803
24,51.65759710949702,320.4347120242195,-0.19147391435551228,0.9399865857799237,0.11154499138000482,478630.5677912532,2100653706.7385218,11466.889217820595,61803.804535534,26404470.067970045
25,47.888747833319705,313.91207247276543,-0.9356696755266816,1.0508423156042594,0.11817225487970735,488007.54492625315,612763717.3299205,12206.440315935522,63218.79776383144,129513229.73363782
26,47.76136364068091,345.83909298456683,-1.9741373322860771,1.0607588892287687,0.1026549647193765,396677.90196502884,4396126196.1034355,10135.140440349718,62945.051626637774,273171581.70114213
27,46.921424776893716,397.63118783723513,-0.6732876110921032,1.0426845848013868,0.08257155492308424,402388.66418245534,9040649813.777588,9611.661463083092,64156.015789957164,92724896.80579242
28,46.1479299563707,338.15703758320933,1.5686445720493647,1.0192402466179398,0.11728405490934049,477367.6956542857,2628973909.387825,11907.314142549441,63916.045312961185,-217305839.13724107
29,49.98231855517599,356.7585008375565,-0.11111041041881355,1.0055377043867226,0.10009030390680829,382770.9918753562,5152659755.067721,9672.970457392397,62104.801979880496,15095521.324390166
30,50.11610665318882,326.94363164566965,0.7712312256414,0.9408333870214146,0.09452832178151399,433069.62168116483,1224462724.0241215,10287.534597277729,61549.46221393009,-107075995.17177255
31,52.68570107888813,308.8914935405961,0.9147069298750973,0.9673132038221538,0.11464861324161887,376171.1406882603,806711443.6978313,9836.690734853502,59341.441897568264,-127109202.55084592
32,53.04281032621226,325.5430308971202,-0.5502835276673945,1.0202526335767153,0.11769686104143545,431606.642515364,898197279.3975016,11163.05568699982,63014.84954025209,76307137.35598989
33,47.48113239278522,329.47801185320924,-0.8316851780995361,1.0260291437060298,0.0864427960818891,355862.78994565544,1861519331.6893067,8875.100575028924,61359.19770835534,115030739.81521937
34,52.238078802538475,377.12261982038007,-2.1000214373690174,1.0267005764968289,0.09864360419219947,470102.47781606636,5907502144.294767,11309.395174718844,65360.088349444035,291169782.4318075
35,54.595469828058796,354.5894610242071,1.2897100985314172,1.028363994489944,0.09362494563370605,372121.209693602,5155361924.232997,9360.529943421785,62543.09495249935,-179553087.4609111
36,49.51461469392281,361.8465627738873,-1.4220807394526949,1.0350625224142291,0.09804140476219124,415878.5607232547,4282830266.268032,10352.378046026108,62808.773195498565,196877207.48955077
37,53.60754648920269,334.3815651298132,0.7245165380568702,1.0559748415703922,0.11253010398205583,412157.48144002614,2028421550.372975,10765.812652380848,62262.16129060222,-100807986.6801242
38,48.01206927275541,315.6835523816404,0.23408839453540314,1.0026197416134843,0.11478978409618823,389268.7417019018,1384575844.2505977,10181.531101053088,60533.21192642601,-32561014.49624824
39,45.34999558952498,369.8555419753663,-0.6234358627456114,0.9862325209102146,0.099900068062473,448842.97117809695,5688043829.858455,10817.076680382217,64245.11817180275,85913994.05273631
40,46.091101616301465,363.8022221162621,-0.8949793705343387,0.9943200404223864,0.10796873449214912,467294.3567485254,4624606116.518108,11416.861813015337,64227.55256730465,123577509.22423406
41,52.79507535967501,322.6534819280588,-1.3597714217446417,0.9846023595230919,0.10980282844118239,343588.71772912797,2182197655.2894225,9176.074443525076,60482.329133120686,188643146.890393
42,49.430365554597984,398.0318831622772,-0.8735946121763475,0.9961349515154218,0.08042757547477378,392492.2302849293,8375346630.162589,9301.62033723054,63239.007949651976,120639972.19578758
43,47.170836192938,303.56184326263406,1.5161725564280506,0.9475807707964404,0.08682511313653844,399084.1592796628,0.0,9454.578716299295,60119.4038167719,-210033900.28738075
44,50.02318339148562,379.643179763866,-0.2067957359947192,0.9634294054789655,0.09199389291453532,387129.95044406137,6847184222.459759,9435.278459457304,61874.215540216,28284584.952536948
45,46.608027419388364,387.3391497998126,2.182496298131231,1.015486944855735,0.08111402500009797,496136.53476937045,6763961465.004877,11214.15129341709,65471.60942910092,-302531477.1506848
46,51.29194049093485,384.24800157344015,-0.5747244465986266,0.9458126273676478,0.08623643055716264,444805.9350464998,7646865828.328557,10253.492837913767,63855.439938794465,79313722.4550232
47,52.94618456377502,389.31810567683976,-1.4818944720810983,0.9523515404250722,0.0954562028942835,326538.0297094722,7235742727.390645,8444.381856723932,61869.4179133,205375815.12149936
